N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod,Cod2
44,65,E_citriodora,960,9,8.498873961,12.1,,
44,65,E_citriodora,960,10,3.565070725,6.7,,
44,65,E_citriodora,960,11,3.947042589,7.9,,
44,65,E_citriodora,960,12,7.862254189,11.9,,
44,65,E_citriodora,960,13,3.246760839,5.9,,
44,65,E_citriodora,960,14,10.47239526,13.6,,
44,65,E_citriodora,960,15,4.710986316,8,,
44,65,E_citriodora,960,16,11.26816997,15.3,,
44,65,E_citriodora,960,17,6.90732453,11.2,,
44,65,E_citriodora,960,18,5.634084985,10.1,,
44,65,E_citriodora,960,19,8.75352187,14.1,,
44,65,E_citriodora,960,20,12.54140952,20.3,21,
44,65,E_citriodora,960,21,11.4591559,18.3,,
44,65,E_citriodora,960,22,13.68732511,19.1,,
44,65,E_citriodora,960,23,13.1461983,17.9,,
44,65,E_citriodora,960,24,,,1,
44,65,E_citriodora,960,25,4.551831372,6.6,,
44,65,E_citriodora,960,26,11.55464887,18.1,,
44,65,E_citriodora,960,27,14.00563499,19.2,,
44,65,E_citriodora,960,28,7.766761223,12.6,,
44,65,E_citriodora,960,29,12.15943765,16.1,,
44,65,E_citriodora,960,30,14.70591674,17.9,,
44,65,E_citriodora,960,31,12.25493062,15.2,,
44,65,E_citriodora,960,32,5.347606088,8.7,,
44,65,E_citriodora,960,33,7.543944303,11.5,,
44,65,E_citriodora,960,34,8.97633879,13,,
44,65,E_citriodora,960,35,7.257465405,11.7,,
44,65,E_citriodora,960,36,14.96056465,17,6,21
44,65,E_citriodora,960,37,11.07718404,15.1,,
44,65,E_citriodora,960,38,6.302535746,11.6,,
44,65,E_citriodora,960,39,10.3450713,14.9,,
44,65,E_citriodora,960,40,6.970986507,10.2,,
44,65,E_citriodora,960,41,10.18591636,15.6,,
44,65,E_citriodora,960,42,12.12760666,,4,
44,65,E_citriodora,960,43,7.480282325,13.7,,
44,65,E_citriodora,960,44,11.04535305,14.2,,
44,65,E_citriodora,960,45,6.143380803,9.1,2,
44,65,E_citriodora,960,46,13.91014203,16.3,,
44,65,E_citriodora,960,47,9.867606472,12.3,,
44,65,E_citriodora,960,48,8.116902098,13.6,,
44,65,E_citriodora,960,49,11.71380381,15.4,,
44,65,E_citriodora,960,50,3.883380611,6.5,,
44,65,E_citriodora,960,51,10.6315502,15.6,,
44,65,E_citriodora,960,52,15.46986047,18.9,6,
44,65,E_citriodora,960,53,9.230986699,13.8,,
44,65,E_citriodora,960,54,5.156620156,8.3,,
44,65,E_citriodora,960,55,10.50422624,15.2,,
44,65,E_citriodora,960,56,12.79605742,18.8,,
44,65,E_citriodora,960,57,4.679155327,8.8,,
44,65,E_citriodora,960,58,15.59718442,18.6,6,
44,65,E_citriodora,960,59,5.220282133,7.9,,
44,65,E_citriodora,960,60,10.12225438,14.6,,
44,65,E_citriodora,960,61,10.6315502,16.3,,
44,65,E_citriodora,960,62,12.47774754,15.7,,
44,65,E_citriodora,960,63,10.02676141,12.9,,
44,65,E_citriodora,960,64,13.94197301,16.4,,
44,65,E_citriodora,960,65,3.660563691,5.8,,
44,65,E_citriodora,960,66,4.010704566,,20,
44,65,E_citriodora,960,67,15.18338157,18,6,
44,65,E_citriodora,960,68,11.71380381,17,,
44,65,E_citriodora,960,69,4.965634224,9.9,,
44,65,E_citriodora,960,70,8.817183847,9.5,,
44,65,E_citriodora,960,71,4.13802852,7.1,,
44,65,E_citriodora,960,72,11.93662073,15.2,,
44,65,E_citriodora,960,73,9.103662745,15.1,,
44,65,E_citriodora,960,74,13.36901522,18,,
44,65,E_citriodora,960,75,10.66338119,13.5,,
44,65,E_citriodora,960,76,11.07718404,16.1,,
44,65,E_citriodora,960,77,3.978873577,7.1,,
44,65,E_citriodora,960,78,5.920563883,9.9,,
44,65,E_citriodora,960,79,9.167324722,11.3,,
44,65,E_citriodora,960,80,11.23633898,14.6,,
44,65,E_citriodora,960,81,15.34253651,17.4,6,
44,65,E_citriodora,960,82,4.488169395,6.4,,
44,65,E_citriodora,960,83,10.72704316,15,,
44,65,E_citriodora,960,84,14.22845191,18,,
44,65,E_citriodora,960,85,14.45126883,18.5,,
44,65,E_citriodora,960,86,3.851549623,7.4,,
44,65,E_citriodora,960,87,6.238873769,10.4,,
44,65,E_citriodora,960,88,9.549296586,14.4,2,
44,65,E_citriodora,960,89,9.326479665,14.2,,
44,65,E_citriodora,960,90,8.116902098,11.2,,
44,65,E_citriodora,960,91,5.411268065,14.3,,
44,65,E_citriodora,960,92,10.72704316,9.9,,
44,65,E_citriodora,960,93,14.96056465,17.8,6,
44,65,E_citriodora,960,94,2.546479089,3.3,21,
44,65,E_citriodora,960,95,6.970986507,10.2,,
44,65,E_citriodora,960,96,12.89155039,15.9,,
44,65,E_citriodora,960,97,10.82253613,14.9,21,
44,65,E_citriodora,960,98,4.933803236,8.1,,
44,65,E_citriodora,960,99,9.67662054,15.4,,
44,65,E_citriodora,960,100,12.0321137,17.5,,
44,65,E_citriodora,960,101,12.82788841,15.9,,
44,65,E_citriodora,960,102,12.47774754,17.7,,
44,65,E_citriodora,960,103,5.570423008,8.7,,
44,65,E_citriodora,960,104,7.321127382,12.5,,
44,65,E_citriodora,960,105,8.75352187,12.6,,
44,65,E_citriodora,960,106,3.055774907,5.1,,
44,65,E_citriodora,960,107,6.525352667,10.2,,
44,65,E_citriodora,960,108,12.73239545,14.9,,
44,65,E_citriodora,960,109,4.265352475,4.8,,
44,65,E_citriodora,960,110,13.87831104,16.3,,
44,65,E_citriodora,960,111,10.28140932,14.6,,
44,65,E_citriodora,960,112,5.443099054,8.4,,
44,65,E_citriodora,960,113,10.72704316,13,,
44,65,E_citriodora,960,114,15.69267739,18.1,6,
44,65,E_citriodora,960,115,7.512113314,11,,
44,65,E_citriodora,960,116,12.95521237,17.4,,
44,65,E_citriodora,960,117,10.72704316,15.6,2,
44,65,E_citriodora,960,118,15.15155058,19,6,
44,65,E_citriodora,960,119,11.04535305,14.8,,
44,65,E_citriodora,960,120,14.89690267,18.1,,
44,65,E_citriodora,960,121,15.43802948,17.6,6,
44,65,E_citriodora,960,122,5.665915974,9.1,,
44,65,E_citriodora,960,123,8.689859893,13.4,,
44,65,E_citriodora,960,124,,,1,
44,65,E_citriodora,960,125,4.870141259,6.7,,
44,65,E_citriodora,960,126,7.512113314,13,,
44,65,E_citriodora,960,127,6.68450761,11.5,2,
44,65,E_citriodora,960,128,4.360845441,7.3,2,
44,65,E_citriodora,960,129,9.867606472,13.9,,
44,65,E_citriodora,960,130,11.07718404,14.7,,
44,65,E_citriodora,960,131,6.047887837,9.5,,
44,65,E_citriodora,960,132,12.82788841,14.8,,
44,65,E_citriodora,960,133,14.5467618,18.3,,
44,65,E_citriodora,960,134,10.18591636,15.7,,
44,65,E_citriodora,960,135,11.52281788,14.4,,
44,65,E_citriodora,960,136,6.780000576,9.2,,
44,65,E_citriodora,960,137,7.543944303,11.8,,
44,65,E_citriodora,960,138,5.411268065,10.2,,
44,65,E_citriodora,960,139,11.39549393,14.2,,
44,65,E_citriodora,960,140,,,1,
44,65,E_citriodora,960,141,2.514648101,5.3,,
44,65,E_citriodora,960,142,6.302535746,9.5,,
44,65,E_citriodora,960,143,13.52817016,16.4,,
44,65,E_citriodora,960,144,5.188451145,9.3,,
44,65,E_citriodora,960,145,3.246760839,6.4,,
44,65,E_citriodora,960,146,4.965634224,11,,
44,65,E_citriodora,960,147,11.36366294,14.4,,
44,65,E_citriodora,960,148,13.78281807,17.2,,
44,65,E_citriodora,960,149,11.39549393,16.2,,
44,65,E_citriodora,960,150,11.77746579,16.8,,
44,65,E_citriodora,960,151,4.710986316,7.6,,
44,65,E_citriodora,960,152,6.620845633,10.9,2,
44,65,E_citriodora,960,153,15.85183233,17.2,6,
