N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,24,E_pellita,432,42,7,8,
2,24,E_pellita,432,43,7.5,8,
2,24,E_pellita,432,44,4,5.5,
2,24,E_pellita,432,45,10.5,9,
2,24,E_pellita,432,46,10,8,
2,24,E_pellita,432,47,5,4,
2,24,E_pellita,432,48,8.5,8,
2,24,E_pellita,432,49,4.5,5.5,
2,24,E_pellita,432,50,5.5,7,
2,24,E_pellita,432,51,8.5,8,
2,24,E_pellita,432,52,9,8.5,
2,24,E_pellita,432,53,0,,1
2,24,E_pellita,432,54,5,5,
2,24,E_pellita,432,55,7.5,8,
2,24,E_pellita,432,56,7,6.5,
2,24,E_pellita,432,57,8.5,8.5,
2,24,E_pellita,432,58,8,8.5,
2,24,E_pellita,432,59,8,8,
2,24,E_pellita,432,60,7,7.5,
2,24,E_pellita,432,61,6.5,7,
2,24,E_pellita,432,62,5.5,7,
2,24,E_pellita,432,63,8,8,
2,24,E_pellita,432,64,8,9,
2,24,E_pellita,432,65,9,8.5,
2,24,E_pellita,432,66,8,7.5,
2,24,E_pellita,432,67,8,8.5,
2,24,E_pellita,432,68,7.5,8,
2,24,E_pellita,432,69,7.5,8,
2,24,E_pellita,432,70,6.5,7.5,
2,24,E_pellita,432,71,7.5,8,
2,24,E_pellita,432,72,6.5,8,
2,24,E_propinqua,432,1,7.5,7,
2,24,E_propinqua,432,2,3.5,7,
2,24,E_propinqua,432,3,7,7,
2,24,E_propinqua,432,4,2.5,4,
2,24,E_propinqua,432,5,3.5,5.5,
2,24,E_propinqua,432,6,5.5,5,
2,24,E_propinqua,432,7,4.5,5.5,
2,24,E_propinqua,432,8,6.5,8,
2,24,E_propinqua,432,9,8.5,9.5,
2,24,E_propinqua,432,10,5.5,7.5,
2,24,E_propinqua,432,11,6.5,8.5,
2,24,E_propinqua,432,12,4,5,
2,24,E_propinqua,432,13,7.5,8.5,
2,24,E_propinqua,432,14,8,8,
2,24,E_propinqua,432,15,0,,1
2,24,E_propinqua,432,16,5.5,6.5,
2,24,E_propinqua,432,17,6.5,8,
2,24,E_propinqua,432,18,7,8,
2,24,E_propinqua,432,19,0,,1
2,24,E_propinqua,432,20,5,6.5,
2,24,E_propinqua,432,21,4,5,
2,24,E_propinqua,432,22,0,,1
2,24,E_propinqua,432,23,5.5,6,
2,24,E_propinqua,432,24,2,4,
2,24,E_propinqua,432,25,1.5,3,
2,24,E_propinqua,432,26,4.5,6,
2,24,E_propinqua,432,27,6.5,7.5,
2,24,E_propinqua,432,28,3.5,3.5,
2,24,E_propinqua,432,29,5,6.5,
2,24,E_propinqua,432,30,5,7.5,
2,24,E_propinqua,432,31,5,6.5,
2,24,E_propinqua,432,32,1,2,
2,24,E_propinqua,432,33,6.5,8,
2,24,E_propinqua,432,34,7,8,
2,24,E_propinqua,432,35,2,3,
2,24,E_propinqua,432,36,5.5,7,
2,24,E_propinqua,432,37,6,7.5,
2,24,E_propinqua,432,38,3.5,5,
2,24,E_propinqua,432,39,6,7,
2,24,E_propinqua,432,40,0,,1
2,24,E_propinqua,432,41,5.5,6.5,
2,24,E_propinqua,432,42,5.5,6.5,
2,24,E_propinqua,432,43,3.5,5.5,
2,24,E_propinqua,432,44,4.5,6,
2,24,E_propinqua,432,45,8.5,9,
2,24,E_propinqua,432,46,6,7.5,
2,24,E_propinqua,432,47,5.5,7,
2,24,E_propinqua,432,48,1.5,2.5,
2,24,E_propinqua,432,49,5,6.5,
2,24,E_propinqua,432,50,5.5,7,
2,24,E_propinqua,432,51,4.5,6.5,
2,24,E_propinqua,432,52,4,6,
2,24,E_propinqua,432,53,6,6.5,
2,24,E_propinqua,432,54,5.5,7,
2,24,E_propinqua,432,55,0,,1
2,24,E_propinqua,432,56,0,,1
2,24,E_propinqua,432,57,5,6.5,
2,24,E_propinqua,432,58,4.5,5.5,
2,24,E_propinqua,432,59,4,5.5,
2,24,E_propinqua,432,60,4.5,4.5,
2,24,E_propinqua,432,61,4.5,6.5,
2,24,E_propinqua,432,62,6,6.5,
2,24,E_propinqua,432,63,7.5,8,
2,24,E_propinqua,432,64,1,2.5,
2,24,E_propinqua,432,65,7.5,8,
2,24,E_propinqua,432,66,3,4.5,
2,24,E_propinqua,432,67,6.5,7,
2,24,E_propinqua,432,68,4,5.5,
2,24,E_propinqua,432,69,0,,1
2,24,E_propinqua,432,70,5,5.5,
2,24,E_propinqua,432,71,2.5,4,
2,24,E_propinqua,432,72,5.5,6.5,
2,24,E_saligna,432,1,7,7,
2,24,E_saligna,432,2,6.5,7.5,
2,24,E_saligna,432,3,4.5,5.5,
2,24,E_saligna,432,4,9,7,
2,24,E_saligna,432,5,7.5,6,
2,24,E_saligna,432,6,0, ,5
2,24,E_saligna,432,7,3.5,5,
2,24,E_saligna,432,8,7,8,
2,24,E_saligna,432,9,9,7.5,
2,24,E_saligna,432,10,1.5,3,
2,24,E_saligna,432,11,5.5,5.5,
2,24,E_saligna,432,12,7.5,7.5,
2,24,E_saligna,432,13,4.5,6,
2,24,E_saligna,432,14,4.5,5.5,
2,24,E_saligna,432,15,8,7,
2,24,E_saligna,432,16,6,7,
2,24,E_saligna,432,17,8,7.5,
2,24,E_saligna,432,18,0,,1
2,24,E_saligna,432,19,8,7.5,
2,24,E_saligna,432,20,4.5,5.5,
2,24,E_saligna,432,21,5,6,
2,24,E_saligna,432,22,6,6.5,
2,24,E_saligna,432,23,6,6.5,
2,24,E_saligna,432,24,6,5,
2,24,E_saligna,432,25,5.5,7.5,
2,24,E_saligna,432,26,8.5,7.5,
